period,geo4,mc_group,speed_bucket,geom_group,crashes,fatalities,fatal_per_1000,share,share_pct
2015–2017,MELB_URBAN,Non-motorcycle,70–80,T intersection,1681,21,12.492563950029744,0.06638496169338914,6.638496169338914
2015–2017,MELB_URBAN,Non-motorcycle,>=90,Not at intersection,1486,19,12.78600269179004,0.05868414817155043,5.868414817155044
2015–2017,MELB_URBAN,Non-motorcycle,>=90,Cross intersection,24,1,41.666666666666664,9.477924334570729e-4,0.0947792433457073
2015–2017,MELB_URBAN,Non-motorcycle,>=90,T intersection,30,2,66.66666666666667,0.0011847405418213411,0.11847405418213411
2015–2017,RURAL_VICTORIA,Motorcycle-involved,<=60,Not at intersection,4,0,0,0.08163265306122448,8.16326530612245
2015–2017,RURAL_VICTORIA,Motorcycle-involved,<=60,Cross intersection,1,0,0,0.02040816326530612,2.0408163265306123
2015–2017,RURAL_VICTORIA,Motorcycle-involved,70–80,Not at intersection,8,0,0,0.16326530612244897,16.3265306122449
2015–2017,RURAL_VICTORIA,Motorcycle-involved,70–80,Cross intersection,1,0,0,0.02040816326530612,2.0408163265306123
2015–2017,RURAL_VICTORIA,Motorcycle-involved,70–80,T intersection,5,0,0,0.10204081632653061,10.204081632653061
2015–2017,RURAL_VICTORIA,Motorcycle-involved,>=90,Not at intersection,21,5,238.0952380952381,0.42857142857142855,42.857142857142854
2015–2017,RURAL_VICTORIA,Motorcycle-involved,>=90,Cross intersection,2,3,1500,0.04081632653061224,4.081632653061225
2015–2017,RURAL_VICTORIA,Motorcycle-involved,>=90,T intersection,7,0,0,0.14285714285714285,14.285714285714285
2015–2017,RURAL_VICTORIA,Non-motorcycle,<=60,Not at intersection,686,11,16.034985422740526,0.0788052843193567,7.880528431935669
2015–2017,RURAL_VICTORIA,Non-motorcycle,<=60,Cross intersection,128,2,15.625,0.014704192992533028,1.4704192992533027
2015–2017,RURAL_VICTORIA,Non-motorcycle,<=60,T intersection,182,1,5.4945054945054945,0.020907524411257896,2.0907524411257894
2015–2017,RURAL_VICTORIA,Non-motorcycle,70–80,Not at intersection,1468,48,32.69754768392371,0.16863871338311315,16.863871338311316
2015–2017,RURAL_VICTORIA,Non-motorcycle,70–80,Cross intersection,247,6,24.291497975708502,0.028374497415278574,2.8374497415278572
2015–2017,RURAL_VICTORIA,Non-motorcycle,70–80,T intersection,406,5,12.31527093596059,0.04663986214819069,4.66398621481907
2015–2017,RURAL_VICTORIA,Non-motorcycle,>=90,Not at intersection,4559,289,63.39109453827594,0.5237219988512349,52.37219988512349
