period,geo4,mc_group,speed_bucket,geom_group,crashes,fatalities,fatal_per_1000
2021–2023,MELB_URBAN,Non-motorcycle,<=60,Not at intersection,7681,71,9.24358807446947
2021–2023,MELB_URBAN,Non-motorcycle,<=60,Cross intersection,4401,36,8.1799591002045
2021–2023,MELB_URBAN,Non-motorcycle,<=60,T intersection,4563,41,8.98531667762437
2021–2023,MELB_URBAN,Non-motorcycle,70–80,Not at intersection,3177,51,16.052880075542966
2021–2023,MELB_URBAN,Non-motorcycle,70–80,Cross intersection,1595,20,12.539184952978056
2021–2023,MELB_URBAN,Non-motorcycle,70–80,T intersection,1462,20,13.679890560875513
2021–2023,MELB_URBAN,Non-motorcycle,>=90,Not at intersection,1227,12,9.7799511002445
2021–2023,MELB_URBAN,Non-motorcycle,>=90,Cross intersection,28,0,0
2021–2023,MELB_URBAN,Non-motorcycle,>=90,T intersection,32,0,0
2021–2023,RURAL_VICTORIA,Motorcycle-involved,<=60,Not at intersection,6,0,0
2021–2023,RURAL_VICTORIA,Motorcycle-involved,<=60,Cross intersection,1,0,0
2021–2023,RURAL_VICTORIA,Motorcycle-involved,<=60,T intersection,2,0,0
2021–2023,RURAL_VICTORIA,Motorcycle-involved,70–80,Not at intersection,10,2,200
2021–2023,RURAL_VICTORIA,Motorcycle-involved,70–80,Cross intersection,3,0,0
2021–2023,RURAL_VICTORIA,Motorcycle-involved,70–80,T intersection,3,0,0
2021–2023,RURAL_VICTORIA,Motorcycle-involved,>=90,Not at intersection,19,3,157.89473684210526
2021–2023,RURAL_VICTORIA,Motorcycle-involved,>=90,Cross intersection,2,0,0
2021–2023,RURAL_VICTORIA,Motorcycle-involved,>=90,T intersection,1,0,0
2021–2023,RURAL_VICTORIA,Non-motorcycle,<=60,Not at intersection,1029,24,23.323615160349853
2021–2023,RURAL_VICTORIA,Non-motorcycle,<=60,Cross intersection,294,6,20.408163265306122
2021–2023,RURAL_VICTORIA,Non-motorcycle,<=60,T intersection,328,9,27.4390243902439
2021–2023,RURAL_VICTORIA,Non-motorcycle,70–80,Not at intersection,1552,47,30.283505154639176
2021–2023,RURAL_VICTORIA,Non-motorcycle,70–80,Cross intersection,360,11,30.555555555555557
2021–2023,RURAL_VICTORIA,Non-motorcycle,70–80,T intersection,445,8,17.97752808988764
2021–2023,RURAL_VICTORIA,Non-motorcycle,>=90,Not at intersection,3772,240,63.62672322375398
2021–2023,RURAL_VICTORIA,Non-motorcycle,>=90,Cross intersection,389,40,102.82776349614396
2021–2023,RURAL_VICTORIA,Non-motorcycle,>=90,T intersection,393,24,61.06870229007634
2021–2023,SMALL_CITIES,Motorcycle-involved,<=60,Not at intersection,8,0,0
2021–2023,SMALL_CITIES,Motorcycle-involved,<=60,Cross intersection,4,0,0
2021–2023,SMALL_CITIES,Motorcycle-involved,<=60,T intersection,6,0,0
2021–2023,SMALL_CITIES,Motorcycle-involved,70–80,Cross intersection,1,0,0
2021–2023,SMALL_CITIES,Motorcycle-involved,70–80,T intersection,1,0,0
2021–2023,SMALL_CITIES,Motorcycle-involved,>=90,Not at intersection,1,0,0
2021–2023,SMALL_CITIES,Non-motorcycle,<=60,Not at intersection,795,11,13.836477987421384
2021–2023,SMALL_CITIES,Non-motorcycle,<=60,Cross intersection,623,1,1.6051364365971108
2021–2023,SMALL_CITIES,Non-motorcycle,<=60,T intersection,385,2,5.194805194805195
2021–2023,SMALL_CITIES,Non-motorcycle,70–80,Not at intersection,95,8,84.21052631578948
2021–2023,SMALL_CITIES,Non-motorcycle,70–80,Cross intersection,86,2,23.25581395348837
2021–2023,SMALL_CITIES,Non-motorcycle,70–80,T intersection,82,2,24.390243902439025
2021–2023,SMALL_CITIES,Non-motorcycle,>=90,Not at intersection,54,2,37.03703703703704
2021–2023,SMALL_CITIES,Non-motorcycle,>=90,Cross intersection,8,0,0
2021–2023,SMALL_CITIES,Non-motorcycle,>=90,T intersection,3,0,0
2021–2023,TOWNS,Motorcycle-involved,<=60,Not at intersection,5,0,0
2021–2023,TOWNS,Motorcycle-involved,<=60,Cross intersection,5,0,0
2021–2023,TOWNS,Motorcycle-involved,<=60,T intersection,1,0,0
2021–2023,TOWNS,Motorcycle-involved,70–80,T intersection,1,0,0
2021–2023,TOWNS,Non-motorcycle,<=60,Not at intersection,523,2,3.8240917782026767
2021–2023,TOWNS,Non-motorcycle,<=60,Cross intersection,356,3,8.426966292134832
2021–2023,TOWNS,Non-motorcycle,<=60,T intersection,205,8,39.02439024390244
2021–2023,TOWNS,Non-motorcycle,70–80,Not at intersection,81,4,49.382716049382715
2021–2023,TOWNS,Non-motorcycle,70–80,Cross intersection,26,4,153.84615384615384
2021–2023,TOWNS,Non-motorcycle,70–80,T intersection,44,0,0
2021–2023,TOWNS,Non-motorcycle,>=90,Not at intersection,31,0,0
2021–2023,TOWNS,Non-motorcycle,>=90,Cross intersection,1,0,0
2021–2023,TOWNS,Non-motorcycle,>=90,T intersection,6,1,166.66666666666666
2024–2025,MELB_URBAN,Motorcycle-involved,<=60,Not at intersection,15,0,0
2024–2025,MELB_URBAN,Motorcycle-involved,<=60,Cross intersection,19,0,0
2024–2025,MELB_URBAN,Motorcycle-involved,<=60,T intersection,20,0,0
2024–2025,MELB_URBAN,Motorcycle-involved,70–80,Not at intersection,11,0,0
2024–2025,MELB_URBAN,Motorcycle-involved,70–80,Cross intersection,6,0,0
2024–2025,MELB_URBAN,Motorcycle-involved,70–80,T intersection,7,0,0
2024–2025,MELB_URBAN,Motorcycle-involved,>=90,Not at intersection,7,0,0
2024–2025,MELB_URBAN,Motorcycle-involved,>=90,Cross intersection,1,0,0
2024–2025,MELB_URBAN,Non-motorcycle,<=60,Not at intersection,1731,25,14.442518775274408
2024–2025,MELB_URBAN,Non-motorcycle,<=60,Cross intersection,1204,14,11.627906976744185
2024–2025,MELB_URBAN,Non-motorcycle,<=60,T intersection,1211,16,13.212221304706853
2024–2025,MELB_URBAN,Non-motorcycle,70–80,Not at intersection,707,17,24.045261669024047
2024–2025,MELB_URBAN,Non-motorcycle,70–80,Cross intersection,446,1,2.242152466367713
2024–2025,MELB_URBAN,Non-motorcycle,70–80,T intersection,356,7,19.662921348314608
2024–2025,MELB_URBAN,Non-motorcycle,>=90,Not at intersection,352,1,2.840909090909091
2024–2025,MELB_URBAN,Non-motorcycle,>=90,Cross intersection,19,0,0
2024–2025,MELB_URBAN,Non-motorcycle,>=90,T intersection,9,0,0
2024–2025,RURAL_VICTORIA,Motorcycle-involved,<=60,Not at intersection,2,0,0
2024–2025,RURAL_VICTORIA,Motorcycle-involved,<=60,Cross intersection,1,0,0
2024–2025,RURAL_VICTORIA,Motorcycle-involved,<=60,T intersection,1,0,0
2024–2025,RURAL_VICTORIA,Motorcycle-involved,70–80,Not at intersection,4,0,0
2024–2025,RURAL_VICTORIA,Motorcycle-involved,70–80,T intersection,2,0,0
2024–2025,RURAL_VICTORIA,Motorcycle-involved,>=90,Not at intersection,9,0,0
2024–2025,RURAL_VICTORIA,Motorcycle-involved,>=90,T intersection,1,0,0
2024–2025,RURAL_VICTORIA,Non-motorcycle,<=60,Not at intersection,265,6,22.641509433962263
2024–2025,RURAL_VICTORIA,Non-motorcycle,<=60,Cross intersection,93,1,10.75268817204301
2024–2025,RURAL_VICTORIA,Non-motorcycle,<=60,T intersection,109,2,18.34862385321101
2024–2025,RURAL_VICTORIA,Non-motorcycle,70–80,Not at intersection,401,12,29.925187032418954
2024–2025,RURAL_VICTORIA,Non-motorcycle,70–80,Cross intersection,82,2,24.390243902439025
2024–2025,RURAL_VICTORIA,Non-motorcycle,70–80,T intersection,122,1,8.19672131147541
2024–2025,RURAL_VICTORIA,Non-motorcycle,>=90,Not at intersection,847,71,83.82526564344747
2024–2025,RURAL_VICTORIA,Non-motorcycle,>=90,Cross intersection,95,6,63.1578947368421
2024–2025,RURAL_VICTORIA,Non-motorcycle,>=90,T intersection,105,1,9.523809523809524
2024–2025,SMALL_CITIES,Motorcycle-involved,<=60,Not at intersection,1,0,0
2024–2025,SMALL_CITIES,Motorcycle-involved,<=60,Cross intersection,3,0,0
2024–2025,SMALL_CITIES,Motorcycle-involved,<=60,T intersection,3,0,0
2024–2025,SMALL_CITIES,Motorcycle-involved,70–80,Cross intersection,1,0,0
2024–2025,SMALL_CITIES,Non-motorcycle,<=60,Not at intersection,164,3,18.29268292682927
2024–2025,SMALL_CITIES,Non-motorcycle,<=60,Cross intersection,153,2,13.071895424836601
2024–2025,SMALL_CITIES,Non-motorcycle,<=60,T intersection,112,1,8.928571428571429
2024–2025,SMALL_CITIES,Non-motorcycle,70–80,Not at intersection,31,3,96.7741935483871
2024–2025,SMALL_CITIES,Non-motorcycle,70–80,Cross intersection,18,0,0
2024–2025,SMALL_CITIES,Non-motorcycle,70–80,T intersection,21,0,0
2024–2025,SMALL_CITIES,Non-motorcycle,>=90,Not at intersection,8,0,0
2024–2025,SMALL_CITIES,Non-motorcycle,>=90,Cross intersection,1,0,0
2024–2025,SMALL_CITIES,Non-motorcycle,>=90,T intersection,1,0,0
2024–2025,TOWNS,Motorcycle-involved,<=60,Not at intersection,1,0,0
2024–2025,TOWNS,Motorcycle-involved,<=60,Cross intersection,3,0,0
2024–2025,TOWNS,Motorcycle-involved,<=60,T intersection,3,0,0
2024–2025,TOWNS,Motorcycle-involved,70–80,T intersection,1,0,0
2024–2025,TOWNS,Motorcycle-involved,>=90,Not at intersection,1,0,0
2024–2025,TOWNS,Non-motorcycle,<=60,Not at intersection,102,2,19.607843137254903
2024–2025,TOWNS,Non-motorcycle,<=60,Cross intersection,91,1,10.989010989010989
2024–2025,TOWNS,Non-motorcycle,<=60,T intersection,43,2,46.51162790697674
2024–2025,TOWNS,Non-motorcycle,70–80,Not at intersection,21,0,0
2024–2025,TOWNS,Non-motorcycle,70–80,Cross intersection,7,0,0
2024–2025,TOWNS,Non-motorcycle,70–80,T intersection,5,0,0
2024–2025,TOWNS,Non-motorcycle,>=90,Not at intersection,10,2,200
2024–2025,TOWNS,Non-motorcycle,>=90,Cross intersection,1,0,0
2024–2025,TOWNS,Non-motorcycle,>=90,T intersection,1,0,0
