period,geo4,hv_group,geom_group,crashes,fatalities,fatal_per_1000,share,share_pct
2021–2023,SMALL_CITIES,Other-vehicle,Cross intersection,641,3,4.6801872074882995,0.31701285855588524,31.701285855588523
2021–2023,SMALL_CITIES,Other-vehicle,T intersection,444,4,9.00900900900901,0.2195845697329377,21.958456973293767
2021–2023,SMALL_CITIES,Other-vehicle,Other/Unknown,44,0,0,0.021760633036597428,2.1760633036597428
2021–2023,TOWNS,Heavy-vehicle involved,Not at intersection,71,1,14.084507042253522,0.4797297297297297,47.97297297297297
2021–2023,TOWNS,Heavy-vehicle involved,Cross intersection,43,1,23.25581395348837,0.2905405405405405,29.054054054054053
2021–2023,TOWNS,Heavy-vehicle involved,T intersection,30,0,0,0.20270270270270271,20.27027027027027
2021–2023,TOWNS,Heavy-vehicle involved,Other/Unknown,4,0,0,0.02702702702702703,2.7027027027027026
2021–2023,TOWNS,Other-vehicle,Not at intersection,608,6,9.868421052631579,0.49230769230769234,49.23076923076923
2021–2023,TOWNS,Other-vehicle,Cross intersection,353,6,16.997167138810198,0.28582995951417006,28.582995951417008
2021–2023,TOWNS,Other-vehicle,T intersection,240,9,37.5,0.19433198380566802,19.4331983805668
2021–2023,TOWNS,Other-vehicle,Other/Unknown,34,0,0,0.027530364372469637,2.753036437246964
2024–2025,MELB_URBAN,Heavy-vehicle involved,Not at intersection,473,8,16.913319238900634,0.43117593436645396,43.11759343664539
2024–2025,MELB_URBAN,Heavy-vehicle involved,Cross intersection,304,2,6.578947368421052,0.27711941659070194,27.711941659070195
2024–2025,MELB_URBAN,Heavy-vehicle involved,T intersection,302,2,6.622516556291391,0.27529626253418416,27.529626253418414
2024–2025,MELB_URBAN,Heavy-vehicle involved,Other/Unknown,18,0,0,0.016408386508659983,1.6408386508659982
2024–2025,MELB_URBAN,Other-vehicle,Not at intersection,2678,37,13.816280806572069,0.46493055555555557,46.49305555555556
2024–2025,MELB_URBAN,Other-vehicle,Cross intersection,1529,13,8.502289077828646,0.26545138888888886,26.545138888888886
2024–2025,MELB_URBAN,Other-vehicle,T intersection,1472,21,14.266304347826088,0.25555555555555554,25.555555555555554
2024–2025,MELB_URBAN,Other-vehicle,Other/Unknown,81,0,0,0.0140625,1.40625
2024–2025,RURAL_VICTORIA,Heavy-vehicle involved,Not at intersection,53,4,75.47169811320755,0.6708860759493671,67.08860759493672
2024–2025,RURAL_VICTORIA,Heavy-vehicle involved,Cross intersection,10,0,0,0.12658227848101267,12.658227848101266
2024–2025,RURAL_VICTORIA,Heavy-vehicle involved,T intersection,16,0,0,0.20253164556962025,20.253164556962027
2024–2025,RURAL_VICTORIA,Other-vehicle,Not at intersection,1680,87,51.785714285714285,0.7115628970775095,71.15628970775096
2024–2025,RURAL_VICTORIA,Other-vehicle,Cross intersection,290,9,31.03448275862069,0.1228293096145701,12.28293096145701
2024–2025,RURAL_VICTORIA,Other-vehicle,T intersection,364,5,13.736263736263735,0.1541719610334604,15.41719610334604
2024–2025,RURAL_VICTORIA,Other-vehicle,Other/Unknown,27,0,0,0.011435832274459974,1.1435832274459974
2024–2025,SMALL_CITIES,Heavy-vehicle involved,Not at intersection,29,1,34.48275862068966,0.4084507042253521,40.845070422535215
2024–2025,SMALL_CITIES,Heavy-vehicle involved,Cross intersection,25,0,0,0.352112676056338,35.2112676056338
2024–2025,SMALL_CITIES,Heavy-vehicle involved,T intersection,17,0,0,0.23943661971830985,23.943661971830984
2024–2025,SMALL_CITIES,Other-vehicle,Not at intersection,195,6,30.76923076923077,0.4020618556701031,40.20618556701031
2024–2025,SMALL_CITIES,Other-vehicle,Cross intersection,157,2,12.738853503184714,0.3237113402061856,32.371134020618555
2024–2025,SMALL_CITIES,Other-vehicle,T intersection,127,1,7.874015748031496,0.2618556701030928,26.18556701030928
2024–2025,SMALL_CITIES,Other-vehicle,Other/Unknown,6,1,166.66666666666666,0.012371134020618556,1.2371134020618557
2024–2025,TOWNS,Heavy-vehicle involved,Not at intersection,14,0,0,0.3684210526315789,36.84210526315789
2024–2025,TOWNS,Heavy-vehicle involved,Cross intersection,13,0,0,0.34210526315789475,34.21052631578947
2024–2025,TOWNS,Heavy-vehicle involved,T intersection,11,1,90.9090909090909,0.2894736842105263,28.947368421052634
2024–2025,TOWNS,Other-vehicle,Not at intersection,133,4,30.075187969924812,0.4854014598540146,48.54014598540146
2024–2025,TOWNS,Other-vehicle,Cross intersection,93,1,10.75268817204301,0.33941605839416056,33.941605839416056
2024–2025,TOWNS,Other-vehicle,T intersection,43,2,46.51162790697674,0.15693430656934307,15.693430656934307
2024–2025,TOWNS,Other-vehicle,Other/Unknown,5,0,0,0.01824817518248175,1.824817518248175
